ClassId,TR,EN
0,1DOLLAR,1DOLLAR
1,5DOLLARS,5DOLLARS
2,8HOUR,8HOUR
3,9OCLOCK,9OCLOCK
4,A-LINEBOB,A-LINEBOB
5,ABBREVIATE,ABBREVIATE
6,ABOUT1,ABOUT1
7,ABOUT2,ABOUT2
8,ABOVE,ABOVE
9,ABSOLUTELYNOTHING,ABSOLUTELYNOTHING
10,ACCENT,ACCENT
11,ACCEPT,ACCEPT
12,ACCESS,ACCESS
13,ACCIDENT,ACCIDENT
14,ACCOMPLISH,ACCOMPLISH
15,ACCORDION,ACCORDION
16,ACCOUNTANT,ACCOUNTANT
17,ACQUIRE,ACQUIRE
18,ACT,ACT
19,ACTION,ACTION
20,ACTOR,ACTOR
21,ADD,ADD
22,ADDICT,ADDICT
23,ADDRESS,ADDRESS
24,ADMIRE,ADMIRE
25,ADMIT,ADMIT
26,ADOPT,ADOPT
27,ADULT,ADULT
28,ADVANTAGE,ADVANTAGE
29,ADVERTISE,ADVERTISE
30,AFRICA,AFRICA
31,AFTER,AFTER
32,AFTERNOON,AFTERNOON
33,AGAIN,AGAIN
34,AGAINST,AGAINST
35,AGE,AGE
36,AGENCY,AGENCY
37,AGREEMENT,AGREEMENT
38,AIRPLANE,AIRPLANE
39,ALARM,ALARM
40,ALASKA,ALASKA
41,ALCOHOL,ALCOHOL
42,ALIGN,ALIGN
43,ALITTLEBIT,ALITTLEBIT
44,ALL,ALL
45,ALLDAY,ALLDAY
46,ALLGONE,ALLGONE
47,ALLOFSUDDEN,ALLOFSUDDEN
48,ALLOVER,ALLOVER
49,ALLOVERBODY,ALLOVERBODY
50,ALLTOGETHER,ALLTOGETHER
51,ALLWAY,ALLWAY
52,ALONE,ALONE
53,ALPHABET,ALPHABET
54,ALRIGHT,ALRIGHT
55,ALWAYS,ALWAYS
56,AMAZING,AMAZING
57,AMERICA,AMERICA
58,ANALYZE,ANALYZE
59,AND,AND
60,ANGEL,ANGEL
61,ANGRY,ANGRY
62,ANIMAL,ANIMAL
63,ANNOUNCE,ANNOUNCE
64,ANSWER,ANSWER
65,ANTLERS,ANTLERS
66,ANY,ANY
67,ANYONE,ANYONE
68,APART,APART
69,APPEAR,APPEAR
70,APPLE,APPLE
71,APPOINTMENT,APPOINTMENT
72,APRIL,APRIL
73,ARCHEOLOGY,ARCHEOLOGY
74,AREA,AREA
75,ARGUE,ARGUE
76,ARIZONA,ARIZONA
77,ARM1,ARM1
78,ARM2,ARM2
79,ARM3,ARM3
80,ARMY,ARMY
81,ARREST1,ARREST1
82,ARREST2,ARREST2
83,ARREST3,ARREST3
84,ARRIVE,ARRIVE
85,ART,ART
86,ARTICLE,ARTICLE
87,ARTICULATESIGN,ARTICULATESIGN
88,ASIA,ASIA
89,ASK,ASK
90,ASSEMBLY,ASSEMBLY
91,ASSIGN,ASSIGN
92,ASSIST,ASSIST
93,ASSISTANT,ASSISTANT
94,ASTRONAUT,ASTRONAUT
95,AT,AT
96,ATHLETE,ATHLETE
97,ATLANTA,ATLANTA
98,ATTENTION,ATTENTION
99,ATTITUDE,ATTITUDE
100,AUDIENCE,AUDIENCE
101,AUDITORIUM,AUDITORIUM
102,AUNT,AUNT
103,AUSTRALIA,AUSTRALIA
104,AUTISM1,AUTISM1
105,AUTISM2,AUTISM2
106,AUTOMATIC,AUTOMATIC
107,AVERAGE,AVERAGE
108,AVOID,AVOID
109,AWAKE,AWAKE
110,AWARD,AWARD
111,AWAY,AWAY
112,AWKWARD,AWKWARD
113,AXE1,AXE1
114,AXE2,AXE2
115,BABY1,BABY1
116,BABY2,BABY2
117,BABYSITTER,BABYSITTER
118,BACHELOR,BACHELOR
119,BACK,BACK
120,BACKOUT,BACKOUT
121,BACKPACK1,BACKPACK1
122,BACKPACK2,BACKPACK2
123,BACKUP,BACKUP
124,BACKYARD,BACKYARD
125,BACON,BACON
126,BAD,BAD
127,BADGE,BADGE
128,BAG1,BAG1
129,BAG2,BAG2
130,BAKE1,BAKE1
131,BAKE2,BAKE2
132,BALANCE,BALANCE
133,BALD,BALD
134,BALL,BALL
135,BALLOON,BALLOON
136,BANANA1,BANANA1
137,BANANA2,BANANA2
138,BANANA3,BANANA3
139,BANANA4,BANANA4
140,BANDAGE,BANDAGE
141,BANDAID1,BANDAID1
142,BANDAID2,BANDAID2
143,BANK,BANK
144,BAR,BAR
145,BARELY,BARELY
146,BARK1,BARK1
147,BARK2,BARK2
148,BARK3,BARK3
149,BARRETTE,BARRETTE
150,BASEBALL,BASEBALL
151,BASEBALLCAP,BASEBALLCAP
152,BASEMENT,BASEMENT
153,BASIC,BASIC
154,BASKET1,BASKET1
155,BASKET2,BASKET2
156,BASKETBALL1,BASKETBALL1
157,BASKETBALL2,BASKETBALL2
158,BASKETBALL3,BASKETBALL3
159,BAT1,BAT1
160,BAT2,BAT2
161,BAT3,BAT3
162,BATH,BATH
163,BATHROOM,BATHROOM
164,BATHTUB,BATHTUB
165,BATTERY,BATTERY
166,BEACH,BEACH
167,BEAK,BEAK
168,BEANIE,BEANIE
169,BEANS,BEANS
170,BEAR,BEAR
171,BEARD,BEARD
172,BEAT,BEAT
173,BEAVER,BEAVER
174,BECAUSE,BECAUSE
175,BECOME,BECOME
176,BED1,BED1
177,BED2,BED2
178,BEDROOM,BEDROOM
179,BEE1,BEE1
180,BEE2,BEE2
181,BEER,BEER
182,BEFORE,BEFORE
183,BEG,BEG
184,BEHAVIOR,BEHAVIOR
185,BEHIND,BEHIND
186,BELIEVE1,BELIEVE1
187,BELIEVE2,BELIEVE2
188,BELL,BELL
189,BELT1,BELT1
190,BELT2,BELT2
191,BEND,BEND
192,BENEFIT,BENEFIT
193,BERRY,BERRY
194,BEST,BEST
195,BET,BET
196,BETTER,BETTER
197,BETWEEN,BETWEEN
198,BIB,BIB
199,BICYCLE,BICYCLE
200,BIG,BIG
201,BIND,BIND
202,BINOCULARS,BINOCULARS
203,BIOLOGY,BIOLOGY
204,BIRD,BIRD
205,BIRTH,BIRTH
206,BIRTHDAY,BIRTHDAY
207,BISON,BISON
208,BITCH,BITCH
209,BITE1,BITE1
210,BITE2,BITE2
211,BITEONARM,BITEONARM
212,BITEONNECK,BITEONNECK
213,BLACK,BLACK
214,BLACKBIRD,BLACKBIRD
215,BLAME,BLAME
216,BLANK,BLANK
217,BLANKET,BLANKET
218,BLEED,BLEED
219,BLESS,BLESS
220,BLIND,BLIND
221,BLINDS1,BLINDS1
222,BLINDS2,BLINDS2
223,BLINK,BLINK
224,BLOND,BLOND
225,BLOOD,BLOOD
226,BLOOM,BLOOM
227,BLOUSE,BLOUSE
228,BLOW,BLOW
229,BLOWCANDLE1,BLOWCANDLE1
230,BLOWCANDLE2,BLOWCANDLE2
231,BLOWMIND,BLOWMIND
232,BLUE,BLUE
233,BLUR,BLUR
234,BLUSH,BLUSH
235,BOARD,BOARD
236,BOAT,BOAT
237,BODY,BODY
238,BOIL1,BOIL1
239,BOIL2,BOIL2
240,BOILINGMAD,BOILINGMAD
241,BOLT,BOLT
242,BOMB,BOMB
243,BONE,BONE
244,BOOK,BOOK
245,BOOTS1,BOOTS1
246,BOOTS2,BOOTS2
247,BORED1,BORED1
248,BORED2,BORED2
249,BORROW,BORROW
250,BOSS,BOSS
251,BOSTON,BOSTON
252,BOTH,BOTH
253,BOTHER,BOTHER
254,BOTTLE,BOTTLE
255,BOTTOM,BOTTOM
256,BOUNCE,BOUNCE
257,BOW1,BOW1
258,BOW2,BOW2
259,BOW3,BOW3
260,BOW4,BOW4
261,BOWL,BOWL
262,BOWLING1,BOWLING1
263,BOWLING2,BOWLING2
264,BOWTIE,BOWTIE
265,BOX,BOX
266,BOXING,BOXING
267,BOY,BOY
268,BOYFRIEND,BOYFRIEND
269,BRA1,BRA1
270,BRA2,BRA2
271,BRA3,BRA3
272,BRACELET,BRACELET
