ClassId,TR,EN
0,autsl_abla,autsl_sister
1,autsl_acele,autsl_hurry
2,autsl_acikmak,autsl_hungry
3,autsl_afiyet_olsun,autsl_enjoy_your_meal
4,autsl_agabey,autsl_brother
5,autsl_agac,autsl_tree
6,autsl_agir,autsl_heavy
7,autsl_aglamak,autsl_cry
8,autsl_aile,autsl_family
9,autsl_akilli,autsl_wise
10,autsl_akilsiz,autsl_unwise
11,autsl_akraba,autsl_kin
12,autsl_alisveris,autsl_shopping
13,autsl_anahtar,autsl_key
14,autsl_anne,autsl_mother
15,autsl_arkadas,autsl_friend
16,autsl_ataturk,autsl_ataturk
17,autsl_ayakkabi,autsl_shoe
18,autsl_ayna,autsl_mirror
19,autsl_ayni,autsl_same
20,autsl_baba,autsl_father
21,autsl_bahce,autsl_garden
22,autsl_bakmak,autsl_look
23,autsl_bal,autsl_honey
24,autsl_bardak,autsl_glass
25,autsl_bayrak,autsl_flag
26,autsl_bayram,autsl_feast
27,autsl_bebek,autsl_baby
28,autsl_bekar,autsl_single
29,autsl_beklemek,autsl_wait
30,autsl_ben,autsl_I
31,autsl_benzin,autsl_petrol
32,autsl_beraber,autsl_together
33,autsl_bilgi_vermek,autsl_inform
34,autsl_biz,autsl_we
35,autsl_calismak,autsl_work
36,autsl_carsamba,autsl_wednesday
37,autsl_catal,autsl_fork
38,autsl_cay,autsl_tea
39,autsl_caydanlik,autsl_teapot
40,autsl_cekic,autsl_hammer
41,autsl_cirkin,autsl_ugly
42,autsl_cocuk,autsl_child
43,autsl_corba,autsl_soup
44,autsl_cuma,autsl_friday
45,autsl_cumartesi,autsl_saturday
46,autsl_cuzdan,autsl_wallet
47,autsl_dakika,autsl_minute
48,autsl_dede,autsl_grandfather
49,autsl_degistirmek,autsl_change
50,autsl_devirmek,autsl_topple
51,autsl_devlet,autsl_government
52,autsl_doktor,autsl_doctor
53,autsl_dolu,autsl_full
54,autsl_dugun,autsl_wedding
55,autsl_dun,autsl_yesterday
56,autsl_dusman,autsl_enemy
57,autsl_duvar,autsl_wall
